<S> w a n d e r e,wandered
<S> d e l i c i o u,delicious
<S> b,believe
<S> s m,smoothly
<S> g h,ghosts
<S> r,rolling
<S> o,off
<S> s u b,substance
<S> h o w,however
<S> f l,fluid
<S> c,courtyard
<S> g i,ginny
<S> a n,anywhere
<S> c o n,conductor
<S> o f,often
<S> p u,pulled
<S> b r,broken
<S> s i,sign
<S> r,resist
<S> l o,london
<S> r,rose
<S> c o,complete
<S> e a g e r,eagerly
<S> w a n d,wandering
<S> y,yelp
<S> r,really
<S> p,puffing
<S> w,wand
<S> f o o,foot
<S> q u,questions
<S> l i p,lips
<S> m,met
<S> s t a n d i n,standing
<S> c o,complained
<S> s t,stuttering
<S> f i l,filled
<S> s i,silver
<S> h o r,horse's
<S> g i n,ginny
<S> t r o l,troll
<S> d r e s,dress
<S> d a,dared
<S> u n w,unwrap
<S> d e a,dean
<S> s o,song
<S> w o m,woman
<S> g e n,genius
<S> t,toast
<S> r e,reasonably
<S> y,your
<S> u,unicorn
<S> s,shows
<S> p,personally
<S> l i g,light
<S> s,several
<S> a l,alley
<S> m e t,metal
<S> l o n,longbottom
<S> w,walking
<S> h o,howling
<S> c o v,covered
<S> r e,restless
<S> t r,troll's
<S> y o,yourselves
<S> i m m e d,immediately
<S> s c o,scooted
<S> b o a r d,boarding
<S> c h a s,chase
<S> s m e,smelting
<S> t e d,teddy
<S> s,sniffling
<S> m a r m a,marmalade
<S> w,wantin'
<S> s t u m,stump
<S> w a n,wandered
<S> e v,ever
<S> k n i,knight
<S> f,finally
<S> s e n,sense
<S> o b,object
<S> c l,clambered
<S> h a l l o w,halloween
<S> b e l,belongs
<S> i n,inky
<S> l e,legs
<S> t,teach
<S> r,rocket
<S> c o b b,cobbled
<S> n i,nice
<S> g r a s,grasp
<S> s,sugar
<S> f o r e,forevermore
<S> p i l,pile
<S> r e m o t,remote
<S> s t a,state
<S> w,wave
<S> d,deserves
<S> s o c k,socks
<S> t h,thoughts
<S> r e,reasons
<S> w h e e z,wheezing
<S> p e,personally
<S> t o m,tomatoes
<S> a t t e,attention
<S> c h a p,chapter
<S> s t,striped
<S> c,coins
<S> c o n,confusing
<S> f,flaming
<S> a n g,angelina
<S> g l i,glimpse
<S> l e a,learned
<S> f l,flatter
<S> j u m p i n,jumping
<S> c,cousin
<S> t o u c h i,touching
<S> r,rummaged
<S> r a s p b,raspberry
<S> r e v e a,reveal
<S> d i,dived
<S> y o,youngest
<S> c h,childishly
<S> y a w,yawned
<S> b e e,been
<S> s n,sneer
<S> t r,tricked
<S> w o o,wood'
<S> c h a,chat
<S> t h a t ',that'll
<S> s h,shook
<S> l o n,london
<S> s n a t,snatch
<S> t e a c,teaching
<S> s k,skidding
<S> c h,chucked
<S> f l a,flatter
<S> c o n c e r n,concerned
<S> n,name's
<S> n e,nervously
<S> w,walk
<S> f i,firecracker
<S> t,towers
<S> h u r r y i,hurrying
<S> w a,walk
<S> r u m b,rumbling
<S> l i g,lighter
<S> g,grandmother
<S> g,glinting
<S> p r a,practical
<S> d e,deep
<S> j,job
<S> r e,repair
<S> i n t e r e s t i n,interesting
<S> c r o s,cross
<S> w a r m,warmth
<S> b a l,balloons
<S> v o,voice
<S> b u t t e,butter
<S> c h a s,chaser
<S> j,jerked
<S> s i,sideways
<S> a c c i d,accidents
<S> r o a r i,roaring
<S> c l,cleared
<S> c h,chessmen
<S> w i n d,window
<S> k n e,knees
<S> s,somethin'
<S> c r o c,crockford
<S> c r u,crumpets
<S> r a r e,rarely
<S> a s,astonishing
<S> s m o,smoke
<S> f o o t,footfalls
<S> f l,flailed
<S> b o u,bounds
<S> c r a t,crate
<S> p a,pause
<S> t h e,them
<S> d a,date
<S> u p w,upward
<S> t u r,turn
<S> w o,won't
<S> ' y o u k n,'youknowwho'
<S> c h a n c,chances
<S> d o,dormice
<S> s,seamus
<S> w,woken
<S> c o n,concern
<S> f o r,forecast
<S> s m,smallest
<S> s o,softly
<S> g l o o m y,gloomylooking
<S> c,classroom
<S> m c,mcgonagall's
<S> l e e r,leering
<S> t o u c h i n,touching
<S> p a t,patient
<S> s t r,striped
<S> w o l,wolfing
<S> a a,aargh
<S> c h a n g,change
<S> ' j o r d,'jordan
<S> f,flushed
<S> e n t,entered
<S> m,mixture
<S> d i f f,differentcolored
<S> p,push
<S> j a,jacket
<S> s e c,second
<S> d,doubted
<S> t,temper
<S> w o n,wondered
<S> s,socks
<S> i n t,into
<S> t,tomorrow
<S> l o n,longer
<S> e,edge
<S> r,rid
<S> h o g,hogwarts
<S> l,lot
<S> m e,mere
<S> s u,sugar
<S> t o,towers
<S> c r a c,crack
<S> r,ruffledlooking
<S> r e,remorse
<S> k a t i,katie
<S> t e,tearstreaked
<S> h a v,have
<S> f i,fit
<S> b e g,begins
<S> i d,idly
<S> b e,beast
<S> c e n t,centaur
<S> i n v,invisible
<S> t,tart
<S> s,seconds
<S> h o r r,horrible
<S> p,precious
<S> s o,soccer
<S> c o n,constrictor's
<S> w r i,wrinkled
<S> s c,scabbers'
<S> c a k,cake
<S> s h o v e l,shoveling
<S> f e,feast
<S> t r,trailed
<S> f i,fiddling
<S> s i c,sick
<S> f o o,food
<S> u n p l e,unpleasant
<S> t h,though
<S> c,covered
<S> w e a k,weakly
<S> r,return
<S> p i,pig
<S> c u,cut
<S> s a,sandwiches
<S> t o w,towns
<S> p e,peas
<S> s i,sight
<S> w a,wave
<S> s i,singlehanded
<S> d i,directed
<S> s o m e f,somefink
<S> u n d e,undergrowth
<S> w a l k,walked
<S> p u,public
<S> r e c e n,recent
<S> t h,thirdfloor
<S> h e,help
<S> u,unfolded
<S> l u,lumpy
<S> c l e n c,clenched
<S> b u m p e,bumped
<S> b r a,bravely
<S> w,wolfsbane
<S> d,driveway
<S> p l a,plays
<S> c r a,crash
<S> d r,drove
<S> i n c r e d i b,incredible
<S> s t r,string
<S> a n y,anywhere
<S> v i e,view
<S> t,turning
<S> w h i p p,whipped
<S> n e r,nervous
<S> f l a,flailing
<S> d r,driven
<S> m a,making
<S> s h a v,shaves
<S> a f t e r,afterward
<S> q u,quiet
<S> d e,desk
<S> p r,pressure
<S> t u r b,turban
<S> c l,clearing
<S> i,in
<S> s t,stamps
<S> d e,dentists
<S> a b l,able
<S> s h a k i,shakily
<S> a n,annoying
<S> s h o,shouldn'
<S> g u,guessing
<S> c a r,carriages
<S> c h u c k,chuckled
<S> l o n g i n g,longingly
<S> p a l,pale
<S> p a u,pause
<S> r e,recited
<S> s h,she'd
<S> s t i,stick
<S> t,thirdfloor
<S> r e l,related
<S> a,added
<S> f o,form
<S> f a d,fading
<S> c h,child
<S> e,elfric
<S> l,loyal
<S> u,unsticking
<S> p a r,parkinson
<S> f,fat
<S> l a,landed
<S> e c h o,echoed
<S> r e s u l t,results
<S> a d d,addressed
<S> l,let
<S> m u,muggles
<S> d,dazed
<S> c,constantly
<S> a b o u,abou'
<S> p l a t e,plates
<S> h u s,hushed
<S> l e t t,letters
<S> p l u m,plump
<S> h,homework
<S> p a,parcel
<S> j e,jealousy
<S> r o,rocket
<S> s,sleepy
<S> w i c,wickedly
<S> r o,rose
<S> b o l,bolted
<S> b o i l,boils
<S> m,make
<S> s h r i n k,shrinking
<S> s t i,stitches
<S> c r a,crazy
<S> c o m,compartments
<S> o,ourselves
<S> s h,shortly
<S> f i,firenze
<S> s t a t,state
<S> t h a,thatthat
<S> u n b r,unbroken
<S> t r o l l,trolley
<S> r e s t r,restricted
<S> b e y,beyond
<S> w,wound
<S> m,mad
<S> c,crawling
<S> s p a,spasm
<S> h o u r,hours
<S> b o d y,bodybind
<S> t r e a,treasure
<S> l e a p,leapt
<S> e x,expected
<S> m a l,malfoy's
<S> h,highsecurity
<S> o,ours
<S> a a a,aaaaaaaaaargh
<S> w o l f,wolfing
<S> b r e e z,breeze
<S> s n i g,snigget
<S> m,moons
<S> m o t,motionless
<S> l a,laughed
<S> i n c r e d i b l,incredible
<S> k n,knuts
<S> f,flute
<S> c a c k l,cackled
<S> b l,blocked
<S> t u,tuesday
<S> b r,breathe
<S> l e a v,leaves
<S> b i,bill
<S> c o r,correcting
<S> v a,vast
<S> l e t t i,letting
<S> g,golden
<S> b r,braver
<S> y a w n,yawned
<S> u n u s e,unused
<S> c a r e t a k,caretaker
<S> p l a t f o,platforms
<S> f,family
<S> w,way
<S> m i n,minds
<S> s t o n,stonewall
<S> g,godric's
<S> a s l e,asleep
<S> t a n t,tantrum
<S> s a v,saved
<S> n e r v,nervous
<S> d,disturb
<S> w i z a r d,wizards
<S> d e s,desperate
<S> p,portrait
<S> d r a,drawn
<S> b o b b i n,bobbing
<S> k,knocking
<S> l i k e,likes
<S> t u r p,turpin
<S> t e s,testing
<S> l,long
<S> s e,several
<S> w i n,winning
<S> r e s t r i,restricted
<S> i d,idiot
<S> b o,bott's
<S> c a,casually
<S> g r a,gran
<S> m e,melted
<S> y,yeah
<S> c,closer
<S> t h e r,thern
<S> m i,mighta
<S> c l,clean
<S> l i c,licking
<S> p o,portrait
<S> r e s,reserve
<S> h o v e r e,hovered
<S> f i r,firecracker
<S> l i o,lion
<S> t e,team
<S> s e,season
<S> o,of
<S> n o i s,noise
<S> t e a c h e r,teachers
<S> f,flames
<S> g r o,grounds
<S> l,low
<S> m a r,maroon
<S> s c r,screaming
<S> r o,rolled
<S> a,arching
<S> s t e,steal
<S> r u m m a,rummaging
<S> d e,deserves
<S> s c o,scored
<S> w e r,were
<S> t h,thumping
<S> l i k,liked
<S> f e e l,feelings
<S> c o r r,correcting
<S> r i p p,ripped
<S> p e t,petunia
<S> h,heavy
<S> r,ripped
<S> m a n,maniacs
<S> d a,darkly
<S> c l e v,cleverness
<S> g e,gettin'
<S> o m,omen
<S> s p e,spectacular
<S> d y i,dying
<S> g a p,gaped
<S> p,postman
<S> c h u c k l,chuckled
<S> a,animals
<S> c h a r,charlie's
<S> b r o a,broadly
<S> e n e m i e,enemies
<S> p a s,passing
<S> m a,master's
<S> b a,backs
<S> s o,somethin'
<S> s u n,sunday
<S> t h r e e h,threeheaded
<S> d i s,disgusting
<S> t,tinkling
<S> c o,cold
<S> s c,scared
<S> f o,followers
<S> l,legend
<S> t a,tall
<S> p e o p,people's
<S> y e,yellowish
<S> s u r p r i s e,surprised
<S> t,two
<S> o c c a s,occasions
<S> b,brandy
<S> g,got
<S> p a,parties
<S> w a v,wave
<S> p,play
<S> p a r,parties
<S> n a,name's
<S> c a k e,cakes
<S> f l a,flared
<S> a,aaaargh
<S> p o,powdered
<S> g a,gain
<S> e a r,earn
<S> b e,bean
<S> p,pince
<S> n,noise
<S> p,pull
<S> s i n,single
<S> p r o b l,problem
<S> h u m,humberto's
<S> s e,selfish
<S> l o o k i n,lookin'
<S> i m a g,imagine
<S> c r o c k,crockford
<S> s,safely
<S> w a,wand
<S> u n,unusual
<S> e x,exactly
<S> u,unwrapped
<S> s o,something's
<S> r e a,reached
<S> s i,sixteen
<S> d a b,dabbed
<S> g l,glass
<S> o b s e,observed
<S> w i,wizard
<S> h a,hair
<S> q,quivered
<S> g a,gasped
<S> b l a s t e,blasted
<S> m a t,math
<S> i s n,isn't
<S> o p e,open
<S> ','yes
<S> e x,explode
<S> i n,invented
<S> h o l d i,holding
<S> s n,sneered
<S> f,fine
<S> s u b s,substance
<S> j u s,jus'
<S> s,sprinted
<S> w h i s,whiskers
<S> h e r,herbology
<S> o,once
<S> i,incredible
<S> i n t e n,intently
<S> f,fer
<S> w,wakes
<S> g a,gallery
<S> c o m,compartment
<S> c o m,complained
<S> s o,sort
<S> d a n c i,dancing
<S> b e h i n,behind
<S> w,we'll
<S> e n j o y i n,enjoying
<S> n,now
<S> r u b b i,rubbing
<S> n n o,nnothing
<S> r o,ronan
<S> w,would
<S> t,together
<S> b r o,broomsticks
<S> l,losing
<S> v,vault
<S> c o m p,computer
<S> t h i e,thief
<S> s c u t t,scuttled
<S> p u,puffing
<S> s a n,sank
<S> a n y,anything
<S> a f t e r n o,afternoon
<S> t i,time
<S> c o l l e,collect
<S> e x,exasperation
<S> d i,disturb
<S> d o,don't
<S> s i z e,sizes
<S> s i,silently
<S> b r o,broom
<S> s c,scabby
<S> s n e,sneezed
<S> s t a t u,statue
<S> t a,tap
<S> q,quaffle
<S> m o,moment
<S> t i m,time
<S> g r u,grunting
<S> f l o o,floors
<S> g a,game
<S> s o,son
<S> s h o u,shouting
<S> c h u c k l e,chuckled
<S> b,be
<S> t o o t h l,toothless
<S> w o r,working
<S> t u e,tuesday
<S> p a s s,passing
<S> g g,ggetting
<S> l a,lake
<S> b l o o,bloodiness
<S> f o o,foolish
<S> s e l f s,selfstirring
<S> m o,mother
<S> l e g,legs
<S> g r a,grate
<S> l u m,lump
<S> l e,least
<S> m o r,more
<S> m o,move
<S> s w o o p,swooped
<S> u n,unfolding
<S> c h,chickened
<S> d o o r w a,doorway
<S> h u,hurried
<S> l i,lit
<S> a r m c h,armchair
<S> b o u,bounded
<S> b r e a,breaks
<S> s h r,shriek
<S> n i c o l,nicolas
<S> c r i n k l,crinkled
<S> t,thief
<S> a r g u,arguing
<S> f r e e z i,freezing
<S> p r o f,professor
<S> m a l f,malfoy's
<S> j i n x,jinxing
<S> p,pig
<S> p i g t,pigtails
<S> t a c k l,tackling
<S> f l,fly
<S> w h,what
<S> e x e r c,exercise
<S> y o u k,youknowwhat
<S> s t o,stopped
<S> d o,dogs
<S> d a t,date
<S> c r e e,creep
<S> p e r,persuade
<S> f,firstyear
<S> t r u,true
<S> w i n,windows
<S> s p e a r,speared
<S> m,mom's
<S> f o r e,foretold
<S> m a,made
<S> m a i,mail
<S> h u r,hurried
<S> l i,lifted
<S> r u s h,rushed
<S> b l o n,blonde
<S> h o r s,horse's
<S> f e a,feathers
<S> t a,tasty
<S> w i z,wizarding
<S> f,fie
<S> s q u e a,squeal
<S> a n y w a,anyway
<S> e x t r a o r d i n a r,extraordinary
<S> p,pie
<S> s e n,sensible
<S> s p r o,sprout's
<S> f u,fury
<S> k i,kip
<S> e e r,eerie
<S> b i,bite
<S> g,goal
<S> s a g g,sagged
<S> s n e,sneer
<S> m a h,mahogany
<S> c,collapsed
<S> m a,mar
<S> c o u n,count
<S> d e s,describing
<S> m i,misty
<S> c o,common
<S> p u,pumpkins
<S> d a s,dashing
<S> w a n t,wants
<S> d r o,drove
<S> f l a r,flared
<S> p r e,pressure
<S> e v e n i n,evenings
<S> g,give
<S> a s l e e,asleep
<S> s h,shouts
<S> b r e a,breaking
<S> s t,studying
<S> s h u f f l i,shuffling
<S> i,ing
<S> r o,rob
<S> d e c l a,declared
<S> e,erised
<S> c r a,cracking
<S> b r,brandy
<S> i t s,itself
<S> p,paused
<S> p r o f e,professor
<S> u,urged
<S> t,threequarters
<S> c r e,cream
<S> b o,boats
<S> m u t t,muttered
<S> b,bicycle
<S> m i,minister
<S> c a n,can't
<S> l i k e,liked
<S> s i n i,sinister
<S> i t s e,itself
<S> j,jacket
<S> g r e,greatest
<S> t,teachers
<S> h o r r,horrified
<S> c h i,childishly
<S> w i,wished
<S> n i,night
<S> s e c,secret
<S> s o m,something's
<S> h,hoops
<S> o u t s,outside
<S> t,throw
<S> p,poke
<S> c r e,crept
<S> a r m o,armor
<S> l,lamp
<S> d e c,decorations
<S> u,under
<S> t h r e e h e,threeheaded
<S> g l o o m y l,gloomylooking
<S> i l l e g,illegal
<S> h a p p,happens
<S> w h e,wheedled
<S> m a,make
<S> p,pucey
<S> g,goal
<S> c a,can
<S> s c,school
<S> p,promisin'
<S> s c a b b,scabbets
<S> e,enormous
<S> m o,mom's
<S> h a t,hate
<S> s c a r,scaredlooking
<S> s a v a,savaging
<S> h,horse
<S> o l i v e,oliver's
<S> w h,who
<S> d d d,dddark
<S> h,hoping
<S> t,true
<S> s t r a,straightening
<S> c c c,cccan't
<S> a n,animals
<S> l o,lord
<S> p l a y,plays
<S> t e,telescopes
<S> d o e,doesn't
<S> i,into
<S> c o n v e n,convention
<S> w a,walled
<S> s,something
<S> h i d i n,hiding
<S> o l i v e r,oliver's
<S> b,berserk
<S> t u,tune
<S> s t r i c,strict
<S> o d d,oddly
<S> c a p u,caput
<S> p l u,plunged
<S> d e s,desk
<S> h u g,hugged
<S> h o p e f u,hopeful
<S> w o r,work
<S> b,baseball
<S> m i s,miserable
<S> t,toward
<S> l e,legend
<S> s t a,stalagmite's
<S> p l a,placed
<S> g,girl's
<S> f o,forest's
<S> e,eat
<S> p o p p,popped
<S> e a g e,eager
<S> s,spring
<S> k e,keen
<S> t h,then
<S> s h e,shed
<S> f,fallen
<S> u n,unicorn
<S> p h o t,photos
<S> c h e,cheery
<S> o w n e,owned
<S> r i c k,rickety
<S> g r a,grayfaced
<S> b a,barks
<S> u n,unable
<S> g r i p,grips
<S> ' t,'til
<S> i,ink
<S> s e e,seen
<S> b,blackness
<S> s t,straining
<S> w,wizard
<S> f a,falling
<S> s p e,speak
<S> b o n,bones
<S> s p,spring
<S> b l i,blistering
<S> s t r,stretched
<S> m e s,messin'
<S> s n a t c,snatch
<S> g o,goblins
<S> b e,being
<S> s e t,settled
<S> s,snuffling
<S> s p a,spat
<S> p o s i t,positions
<S> h u r,hurt
<S> h a,has
<S> c h i l,childishly
<S> e x p l,explaining
<S> w,wander
<S> s p i,spite
<S> p o s,possibly
<S> i t ',it'd
<S> h o,hooves
<S> r e s t,resting
<S> w e a s l e,weasleys'
<S> f r i g h,fright
<S> p i,pinning
<S> a p o l o g i,apologized
<S> s t e r,sternly
<S> s p r,sprang
<S> o n,once
<S> p,perenelle
<S> d e m a n,demanded
<S> b,barking
<S> p,pub
<S> a f r,africa
<S> p,payin'
<S> h,hermione's
<S> m a r m a l,marmalade
<S> s h e,she'd
<S> f a b u l o,fabulous
<S> w o m a,woman
<S> c o w e r,cowering
<S> s n,snare
<S> p e o p l,people's
<S> t,tower
<S> s l,sleepily
<S> s,shouldn't
<S> h a v e n,haven't
<S> s i,sing
<S> d o r,dormice
<S> s o m,somewhere
<S> s n a,snatching
<S> s t u,stuttering
<S> b e,bed
<S> t,tape
<S> h e r,herself
<S> e m e r a l,emerald
<S> j u,justin
<S> l e t t e,letters
<S> s q u a,squat
<S> a r,arching
<S> c h i,chickened
<S> m a r c,marcus
<S> m a l f a,malfay
<S> s c r,screech
<S> b o t t,bottle
<S> h e,hedges
<S> b o,bowlers
<S> h a,hasn't
<S> p e,percent
<S> t u e s,tuesday
<S> s c u t t l,scuttled
<S> m a,mandy
<S> a w a i t i n,awaiting
<S> r,revolting
<S> b,better
<S> g r i n,grinding
<S> s,saintly
<S> i n s i,insides
<S> d i,discussing
<S> t h i c k,thickly
<S> t,time
<S> f r,friendly
<S> w a,waddling
<S> l,less
<S> l o t,lots
<S> d u s,duster
<S> f i n g,fingertips
<S> s l,slipping
<S> d e m a n d,demanded
<S> a n y w,anywhere
<S> s h e ',she'd
<S> p a r,paraded
<S> s h o,shouted
<S> r o b,robes
<S> s,switching
<S> f o r g e,forgettin'
<S> r o a r i n,roaring
<S> l i,lie
<S> d a m,damage
<S> s c r,screamed
<S> n a,naturally
<S> c o,comb
<S> b a,baron
<S> c o n d,conductor
<S> ' y o u k n o,'youknowwho'
<S> d i,dish
<S> f l i,flicking
<S> a n x,anxiously
<S> p a i,paisley
<S> m,moments
<S> d,drink
<S> v a n,vanish
<S> m a r o,maroon
<S> w i,wishing
<S> s,showed
<S> s y,syllable
<S> p i,piercing
<S> b r e a k,breaks
<S> h,has
<S> r i,ripped
<S> e v,everythin'
<S> c r o c k f,crockford
<S> d,ducking
<S> m u,muggle
<S> l a u,laughing
<S> h a n,handle
<S> b e a s,beasts
<S> m,main
<S> p r e s e n,present
<S> d,dive
<S> t,tired
<S> p o u,pound
<S> c a,careless
<S> s o,something
<S> r,roar
<S> o n w a,onward
<S> c o m,comb
<S> c h,chuckle
<S> r a i s i,raising
<S> n,neville
<S> k e y,keyhole
<S> h,home
<S> d o o r p o,doorpost
<S> k,knowing
<S> c h o,chosen
<S> s u b j,subject
<S> w e,well
<S> w i z a,wizarding
<S> t h o,those
<S> b e,believe
<S> m a n,manner
<S> s h e,shelves
<S> e a s,easiest
<S> s t r a y e,strayed
<S> f e a t,feathers
<S> t a,take
<S> g l,glittering
<S> s e c r,secret
<S> t h a n k,thanks
<S> b l,blood
<S> t,throat
<S> t e r,terrified
<S> t h u,thumping
<S> f,foreheads
<S> s h a,shaped
<S> t r,treat
<S> d e m a,demand
<S> f,fudge
<S> t e,terrible
<S> s,sweet
<S> l i,lift
<S> t u c k,tucked
<S> p,practice
<S> m i n d,minds
<S> k n o,know
<S> k,key
<S> a,alone
<S> s t a n,stands
<S> f o l l,follow
<S> h u g g,hugged
<S> t h a,than
<S> b o t,bott's
<S> c h a s e,chaser
<S> s,silkily
<S> t i,tights
<S> s t,steps
<S> w h y ',why'd
<S> a l,alchemy
<S> a g,ages
<S> g r u,grunt
<S> s,snarled
<S> f,feet'
<S> b a c,backward
<S> s t a n,stand
<S> w a s,wasn't
<S> s i g n a t u,signature
<S> q u i,quiz
<S> s,snout
<S> h,hours
<S> t,the
<S> t e e t,teeth
<S> p,platform
<S> a a,aaaargh
<S> a i r,airily
<S> k i s s,kissed
<S> a n t i d a,antidark
<S> r,rob
<S> h,happen
<S> t,teacups
<S> i,ink
<S> r a s p b e,raspberry
<S> y o,you'll
<S> d,duel
<S> s t,stamp
<S> l a s t m i n u,lastminute
<S> d i s g,disgusting
<S> d i s g u,disgusted
<S> w,work
<S> s h e,she's
<S> e x c i,excitedly
<S> f l u,fluff
<S> b i r,bird
<S> d e,desire
<S> d,down'
<S> h u r r,hurried
<S> s,suit
<S> h a,happily
<S> c o,countercurse
<S> d u,duel
<S> p e r,perched
<S> f o r,form
<S> c r,crash
<S> h o b b l,hobbled
<S> f o,fondly
<S> p i,pie
<S> f a c,face
<S> b o w,bowlers
<S> d,dead
<S> c,chat
<S> s t r,stretching
<S> b,bedrooms
<S> a,airplane
<S> d r a,drain
<S> q u,quickly
<S> s u c,such
<S> s a d,sadly
<S> p r,prefects
<S> p o s s,possibly
<S> k i l l,killin'
<S> g,gulp
<S> l i,live
<S> d a r,darkly
<S> c o u,courage
<S> f,foribidden
<S> b l o o d,bloodiness
<S> a g,against
<S> k,keep
<S> g,grew
<S> y e,yehve
<S> h a v e n ',haven't
<S> b u r n e,burned
<S> a,agree
<S> f a,faintest
<S> l i v e,lives
<S> g e n t,gentle
<S> s t u m,stumped
<S> f a,fastest
<S> s o a r i,soaring
<S> m a,may
<S> n,need
<S> d r a,draco
<S> p e e r i,peering
<S> f r,friar
<S> w e,we'll
<S> s h a p e,shapeless
<S> c e r,ceremony's
<S> h o w a,howard
<S> r a,ran
<S> a l,although
<S> t w e n,twentynine
<S> t a,table
<S> h a g,hagrid
<S> e l i x,elixir
<S> h o r r i,horrible
<S> h o,homework
<S> f a n,fangs
<S> d,delicious
<S> t o,toys
<S> s o m e f i,somefink
<S> n e,new
<S> v e r,vernon
<S> s t,stay
<S> g a p e,gaped
<S> b r o o,broom
<S> f a s,fast
<S> g a,gambled
<S> c o m,combination
<S> t r,trip
<S> h e d,hedges
<S> s l,sleeve
<S> f,fattenin'
<S> r,rubbish
<S> l i v,liver
<S> h o u s e,houses
<S> h,haven't
<S> d i,dinnertime
<S> c,curse
<S> j o i,joined
<S> d e l i,deliver
<S> n,nearer
<S> c o n t a i,contained
<S> r e c,received
<S> o t h e,others
<S> s l,sloped
<S> n o s,nosy
<S> f l i c,flicking
<S> s i,simple
<S> d e v i,devil's
<S> s e r,serious
<S> a l,all
<S> e s,especially
<S> a h,ahead
<S> a p o l o g i z,apologized
<S> d,dedalus
<S> t,them
<S> s o,socks
<S> u n c e,uncertainly
<S> a,awaiting
<S> d e c,decide
<S> p u,puddings
<S> ' j o r d a,'jordan
<S> o,or
<S> t e a c h,teaching
<S> p r o,promise
<S> r o,ron's
<S> f,fought
<S> a,always
<S> s,stairs
<S> c l o,closed
<S> c o r n e,corner
<S> s t,story
<S> t o,toward
<S> s t o n e,stonewall
<S> w i z a,wizards
<S> c r o c k f o,crockford
<S> p u,push
<S> c o l l e c,collect
<S> b a,barely
<S> m,men
<S> h,hope
<S> t h o,thousands
<S> f a t h e,father'd
<S> d u r,dursleys'
<S> t e,tells
<S> g r o,growled
<S> k n,knowwho'
<S> m u,mule
<S> m u,muddy
<S> a m,amazement
<S> h o w e,however
<S> c a l m,calmly
<S> a n i,animals
<S> p a,parvati
<S> s p a s,spasm
<S> l o y,loyalties
<S> w,warn
<S> h a l l o w e,halloween
<S> m u l,mule
<S> f l a s h e,flashed
<S> r a,ranting
<S> f i f t,fifthyear
<S> e l a,elastic
<S> c c c a,cccan't
<S> p r o,protect
<S> p,paving
<S> s t e a,steal
<S> t e a,tearstreaked
<S> a,arrivals
<S> e l e v e,eleven
<S> s t r,strapping
<S> d i s,disgruntled
<S> f u,fun
<S> s h o w i n,showing
<S> t i,tidy
<S> o t h e r,others
<S> i,infernal
<S> s u f f e r i n,suffering
<S> a w,awarding
<S> b e a r,bearded
<S> t h i n,thinking
<S> e e r i,eerie
<S> c i,city
<S> m u g,muggle
<S> f,flick
<S> e,escalator
<S> r i d,riding
<S> b o,bound
<S> t a i,tail
<S> e,extra
<S> l,like
<S> w e,week
<S> w,walk
<S> s w i,swipe
<S> q u i,quite
<S> p e r c,perched
<S> w,who
<S> i n,infernal
<S> i d l,idly
<S> n a r r,narrow
<S> w,wing
<S> n,nastily
<S> l i,littie
<S> g o,got
<S> s o,sounds
<S> i d i,idiot
<S> q u,quivered
<S> i,interfering
<S> s n a,snatched
<S> t e a,team
<S> h a,having
<S> p u d d,puddin'
<S> b,blow
<S> b u,buckle
<S> e a s i,easier
<S> b o i l i,boiling
<S> s m e l,smelting
<S> f i,fire
<S> g l a,glaring
<S> o u t,outskirts
<S> c,cast
<S> f o,footsteps
<S> p o,powerful
<S> d,dyeing
<S> h o a,hoarse
<S> w i n d o,window
<S> r a i s,raise
<S> i n s,instead
<S> t h a t,thatthat
<S> c r i k,crikey
<S> c o,confessed
<S> b i g,biggest
<S> b u,bursting
<S> p o t,potions
<S> b,band
<S> p e a b,peabrain
<S> d a m a,damage
<S> r a g e,raged
<S> n e,neville
<S> p r,problems
<S> t h o s,those
<S> h o l d i n,holding
<S> s w e,swelling
<S> i n g r,ingredients
<S> b,bandaged
<S> h o w e v,however
<S> g r a n g e,granger's
<S> b l,blame
<S> g,growling
<S> t,tawny
<S> s h,shall
<S> b i n o,binoculars
<S> f l a,flamel'
<S> e x p r,expression
<S> c h e e,cheered
<S> m o,mount
<S> b,bar
<S> l o o k i n,looking
<S> f i,fifteen
<S> t h,thus
<S> c o m m e n,commentating
<S> p o,pop
<S> t r,trunk
<S> h e a v e,heavens
<S> s h o u t,shouting
<S> a n g e,angelina
